id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_index,cons_conf_index,lending_rate3m,nr_employed,subscribe
121,31,1,2,5,1,1,1,1,5,4,314,0,1004,0,0,1.1,95.68,-37.49,4.8,5414.21,0.0
122,33,2,1,4,0,1,1,0,5,1,127,3,969,0,0,-1.8,97.53,-43.98,1.26,5175.58,0.0
123,45,2,2,4,0,0,0,1,5,3,4523,0,647,0,1,1.1,92.5,-26.18,3.54,5073.26,0.0
124,36,1,2,6,1,2,1,1,5,1,239,2,1046,0,0,1.1,93.71,-37.12,4.67,5061.22,0.0
125,32,4,3,5,1,1,1,1,5,5,553,2,1027,0,0,1.1,92.58,-35.74,5.1,5351.92,1.0
126,50,5,2,6,1,2,1,0,11,2,111,1,980,0,0,-0.1,88.72,-43.34,4.17,5159.42,0.0
127,58,11,2,4,1,2,1,0,3,1,2513,1,911,3,1,-1.8,93.27,-30.09,2.81,4994.0,1.0
128,53,2,2,2,1,2,1,0,8,5,347,2,1024,0,0,1.4,94.84,-34.98,4.78,5254.24,0.0
129,34,8,2,5,1,1,2,1,5,5,627,1,964,0,0,1.1,89.29,-35.74,4.88,5066.41,0.0
130,35,1,1,6,1,2,1,0,5,1,72,0,1045,1,1,-1.8,95.02,-45.13,1.31,5012.41,0.0
131,52,1,3,5,1,2,1,0,7,5,94,3,1047,0,0,1.4,91.94,-41.58,4.96,5228.1,0.0
132,31,8,2,5,1,1,1,0,11,3,381,2,216,4,1,-0.1,94.87,-36.62,3.5,5202.25,0.0
133,37,2,2,4,0,1,1,1,6,2,1317,0,281,0,0,1.4,93.27,-30.8,2.98,5135.55,0.0
134,34,10,2,5,1,1,1,1,7,4,109,5,1031,0,0,1.4,91.19,-44.53,4.84,5102.62,0.0
135,27,8,1,5,1,2,1,0,5,1,2449,8,825,3,0,-1.8,96.72,-36.92,4.17,5157.84,0.0
136,28,2,1,5,1,2,1,0,5,3,4059,0,725,3,1,-1.8,94.83,-37.25,4.02,4953.12,1.0
137,36,8,2,5,1,2,1,0,5,5,79,2,1011,1,1,-1.8,92.14,-44.67,1.22,5318.36,0.0
138,34,10,1,7,0,2,1,0,7,4,109,5,1026,0,0,1.4,97.86,-42.74,5.02,5369.25,0.0
139,44,5,2,7,1,2,1,1,5,2,1372,0,767,6,1,1.1,91.47,-43.47,2.77,5093.09,0.0
140,29,1,1,5,1,1,2,0,7,1,4423,2,97,3,0,1.4,95.51,-34.35,3.69,5349.26,0.0
141,32,10,1,7,1,2,1,0,8,3,293,0,1032,0,0,1.4,90.36,-35.08,5.04,5452.9,0.0
142,39,2,2,4,1,2,1,0,7,3,216,8,997,0,0,1.4,93.91,-44.45,4.81,5280.38,0.0
143,48,10,2,7,1,1,1,0,8,3,490,1,1004,0,0,1.4,92.69,-36.71,5.2,5364.03,0.0
144,23,8,1,5,1,1,1,1,5,2,186,1,962,0,0,1.1,93.24,-35.89,4.9,5403.83,0.0
145,26,1,1,5,1,1,1,1,8,5,3966,1,1002,0,0,-1.7,91.01,-38.29,0.88,5056.49,0.0
146,44,1,2,4,1,2,1,0,5,1,173,1,586,5,1,-1.8,98.12,-52.13,1.3,5177.03,0.0
147,35,7,3,2,1,2,1,1,6,4,797,0,180,0,0,1.4,90.16,-29.33,4.95,5136.31,0.0
148,36,1,1,6,1,1,1,0,8,1,98,2,1010,0,0,1.4,94.37,-34.9,4.99,4982.37,0.0
149,47,8,2,5,1,1,1,0,11,2,3102,1,237,5,1,-0.1,97.31,-31.09,0.74,5001.66,0.0
150,28,2,1,3,1,1,1,0,7,5,231,0,153,6,2,1.4,98.44,-39.93,2.42,4986.5,0.0
151,34,2,2,4,1,2,1,0,7,3,1075,3,788,5,0,1.4,96.55,-47.63,4.33,5120.81,0.0
152,27,1,2,5,1,2,1,1,5,2,1618,1,158,2,1,1.1,89.6,-48.46,3.66,5274.27,0.0
153,32,1,1,6,1,2,1,0,4,4,84,1,1015,0,0,-1.8,95.49,-46.53,1.35,4961.42,0.0
154,58,1,3,5,0,1,1,0,5,5,316,3,973,1,1,-1.8,94.37,-44.21,1.23,4879.83,0.0
155,57,6,2,6,0,2,1,0,8,1,169,0,978,0,0,1.4,89.23,-35.37,4.75,5055.57,0.0
156,36,10,1,6,1,2,1,0,5,2,445,2,983,0,0,-1.8,95.12,-43.89,1.32,5012.41,0.0
157,20,9,1,5,1,2,1,0,10,5,153,1,988,0,0,-3.4,91.96,-26.65,0.7,4766.62,1.0
158,40,3,2,5,1,2,1,1,6,4,1754,0,591,1,0,1.4,93.89,-46.93,3.97,5429.84,0.0
159,31,2,2,4,1,1,1,1,6,5,192,11,1003,0,0,1.4,93.99,-43.34,4.85,5086.94,0.0
160,36,1,2,6,1,2,1,1,6,5,11,2,1021,0,0,1.4,96.44,-40.83,4.97,5201.95,0.0
161,57,3,2,2,1,1,1,0,11,1,107,2,1046,0,0,-0.1,89.84,-40.61,4.25,5195.8,0.0
162,28,1,1,5,1,2,2,1,6,4,14,10,960,0,0,1.4,98.52,-43.38,4.91,5452.9,0.0
163,36,1,2,7,1,2,2,0,8,5,147,4,962,0,0,1.4,95.59,-37.0,4.95,5353.57,0.0
164,35,10,1,5,1,2,1,0,4,4,44,1,1002,0,0,-1.8,88.79,-48.84,1.39,5201.08,0.0
165,29,10,1,5,1,2,1,1,5,3,2079,4,91,0,1,-1.8,97.52,-33.39,4.49,4980.37,0.0
166,44,2,2,2,0,2,2,1,5,5,309,1,1005,0,0,1.1,90.14,-36.14,4.8,5362.3,0.0
167,81,9,2,7,1,1,1,0,11,1,554,2,983,0,0,1.4,90.34,-43.72,5.11,5018.97,0.0
168,34,1,1,6,1,2,1,0,8,4,1064,1,510,6,1,-2.9,92.66,-49.4,4.47,4789.58,0.0
169,35,1,1,6,1,1,1,0,8,5,119,1,959,0,0,1.4,90.36,-34.33,5.18,5243.78,0.0
170,36,8,2,5,0,2,1,0,5,3,393,1,1007,1,1,-1.8,92.33,-48.14,1.26,5037.91,0.0
171,28,1,2,0,1,1,1,0,7,1,213,6,1026,0,0,1.4,90.91,-40.99,4.93,5113.08,0.0
172,37,7,2,4,0,1,1,1,5,1,228,0,969,0,0,1.1,91.55,-36.61,4.74,5035.26,0.0
173,46,8,1,4,1,2,1,0,4,1,16,5,954,0,0,-1.8,94.37,-47.14,1.46,5109.29,0.0
174,63,10,2,0,1,1,1,0,3,1,99,2,2,2,2,-1.8,97.75,-33.44,0.66,4993.67,1.0
175,39,2,2,2,1,1,1,1,6,2,5007,5,115,1,0,1.4,93.96,-36.11,1.81,4815.94,0.0
176,37,10,2,7,0,2,1,0,8,5,4286,7,346,3,2,1.4,97.77,-33.86,0.92,5193.31,0.0
177,31,1,1,5,1,1,1,0,6,5,3059,2,988,6,2,-2.9,98.68,-32.5,2.33,4852.08,0.0
178,52,1,2,5,1,1,1,0,5,2,3856,3,511,5,0,-1.8,91.19,-31.29,4.46,5084.2,0.0
179,40,2,1,4,1,1,1,1,5,2,4910,3,889,6,1,1.1,91.16,-46.14,2.02,4915.57,1.0
180,46,10,2,6,0,2,1,0,8,1,2208,0,90,5,1,1.4,95.52,-42.49,1.96,5272.25,0.0
181,51,5,3,5,1,0,0,1,5,1,1251,3,552,0,0,1.1,94.46,-30.48,3.63,5170.52,0.0
182,48,8,2,5,1,1,2,1,5,2,144,1,1003,0,0,1.1,92.77,-37.81,4.72,5196.19,0.0
183,59,7,2,6,0,0,0,1,7,1,676,1,951,0,0,1.4,91.66,-41.46,4.75,5086.94,0.0
184,39,1,2,6,1,2,1,0,5,1,170,2,956,0,0,-1.8,95.67,-47.72,1.29,4946.12,0.0
185,41,3,2,4,1,2,1,0,4,5,1916,1,177,6,0,-1.8,97.5,-48.92,1.96,5093.12,0.0
186,38,8,3,5,1,2,1,0,4,3,1317,1,593,6,2,-1.8,92.11,-41.0,2.23,5055.59,0.0
187,49,2,2,3,0,2,2,1,5,3,210,2,964,0,0,1.1,95.59,-37.71,4.62,5300.01,0.0
188,33,9,1,6,1,1,1,0,8,4,886,0,293,4,0,1.4,94.2,-43.83,3.19,5155.9,0.0
189,24,2,2,4,1,1,1,1,7,1,174,0,1007,0,0,1.4,98.61,-44.45,5.19,5405.85,0.0
190,48,10,2,6,1,2,1,0,8,3,566,1,999,0,0,1.4,91.48,-36.38,4.89,5364.03,0.0
191,42,10,1,7,1,2,1,1,5,5,4532,1,171,3,0,1.1,95.63,-40.56,4.72,4906.92,0.0
192,56,4,2,2,1,1,1,0,7,3,189,1,971,0,0,1.4,97.95,-42.78,5.11,5264.69,0.0
193,41,5,2,4,1,1,1,1,7,4,91,1,966,0,0,1.4,94.1,-42.61,5.14,5259.46,0.0
194,31,1,1,6,1,2,1,1,6,4,327,0,995,0,0,-1.7,93.86,-41.79,0.72,5071.46,0.0
195,57,10,2,7,1,2,1,1,5,5,1442,1,1036,0,0,1.1,95.21,-37.78,4.75,5320.77,0.0
196,59,0,2,0,2,1,1,0,10,3,3570,22,452,1,2,1.4,97.63,-29.51,0.66,5125.84,1.0
197,45,1,2,6,1,1,1,0,7,2,2516,2,687,6,0,1.4,90.0,-28.42,3.23,5126.34,0.0
198,28,1,1,5,1,1,1,0,7,2,2504,2,998,6,1,1.4,94.36,-44.31,4.73,5428.58,1.0
199,32,10,2,7,1,1,1,1,5,5,197,1,954,0,0,1.1,90.32,-38.0,4.71,5300.01,0.0
200,50,4,3,2,1,1,1,1,6,3,1266,0,918,1,1,1.4,92.71,-27.5,1.92,4865.43,0.0
201,28,2,1,4,1,1,1,0,11,3,164,0,992,0,0,-0.1,97.02,-40.11,4.31,5045.12,0.0
202,34,10,2,5,1,1,1,1,5,1,225,0,1030,0,0,1.1,97.56,-36.07,5.03,5377.87,0.0
203,30,1,2,6,1,1,1,0,6,2,1165,0,541,4,1,-2.9,98.03,-34.87,3.06,5317.0,1.0
204,37,10,2,7,1,2,1,1,5,2,891,2,676,4,1,1.1,88.82,-42.65,2.15,4740.66,0.0
205,39,10,1,7,1,1,1,1,5,5,3010,4,554,2,0,1.1,94.44,-36.68,1.16,5170.87,1.0
206,31,1,1,6,1,2,2,0,8,4,1481,2,1021,0,0,1.4,96.99,-35.66,4.85,5306.52,0.0
207,45,3,2,6,1,2,1,0,11,5,1960,3,783,4,1,-0.1,94.64,-28.2,3.33,4881.49,0.0
208,33,1,1,6,1,1,1,0,6,5,323,0,971,4,2,-2.9,90.57,-34.29,2.11,4951.84,1.0
209,39,4,2,2,1,2,1,0,8,1,433,0,1038,0,0,1.4,90.17,-37.14,4.86,5411.08,0.0
210,39,11,1,2,1,1,1,0,6,2,449,2,1006,0,0,-2.9,92.49,-41.77,1.22,4868.07,0.0
211,45,1,3,6,1,1,2,0,5,1,63,0,986,0,0,-1.8,93.91,-46.01,1.24,5354.05,0.0
212,31,1,1,7,1,2,1,0,7,3,74,1,1016,0,0,-2.9,93.85,-32.42,1.01,4868.07,0.0
213,25,3,3,0,1,0,0,0,3,5,2831,18,442,4,2,1.4,91.57,-47.73,3.88,5143.1,0.0
214,45,10,1,7,0,1,1,1,6,2,763,1,760,4,0,1.4,92.07,-43.49,1.49,4998.47,0.0
215,36,2,2,3,1,1,1,0,5,5,79,1,960,1,1,-1.8,95.3,-45.64,1.31,4941.02,0.0
216,23,8,1,0,1,2,1,0,3,2,728,12,339,2,0,-1.8,91.88,-44.57,2.84,4845.6,1.0
217,23,9,1,0,1,2,1,0,9,3,710,2,856,6,1,-1.1,91.51,-48.36,4.59,5121.26,0.0
218,28,2,2,4,1,1,1,1,6,2,3817,1,611,5,1,1.4,94.13,-49.78,2.75,5281.35,0.0
219,27,2,2,4,1,1,1,1,6,2,124,1,1003,0,0,1.4,94.18,-41.54,4.76,5259.46,0.0
220,37,8,2,5,0,2,1,1,5,3,1635,2,429,4,0,1.1,89.4,-26.79,2.49,4862.79,0.0
221,23,11,3,1,0,0,2,1,5,2,4537,43,6,6,2,-2.9,97.18,-32.84,0.88,5384.01,1.0
222,27,10,1,6,1,2,1,0,7,3,572,1,974,0,0,1.4,91.85,-42.87,5.21,5243.78,0.0
223,40,7,3,6,1,1,1,0,5,1,145,0,1039,0,0,-1.8,97.44,-46.47,1.26,5236.77,0.0
224,32,7,3,7,1,2,1,1,6,1,123,1,958,0,0,1.4,93.61,-41.08,4.97,5296.06,0.0
225,51,1,3,6,0,2,2,0,8,5,539,4,988,0,0,1.4,96.24,-35.95,4.77,4987.6,0.0
226,39,1,2,6,1,2,2,1,6,2,77,0,967,0,0,1.4,98.52,-42.0,5.16,5107.85,0.0
227,51,3,2,6,1,2,1,0,7,1,1194,2,1041,0,0,1.4,94.19,-42.01,4.99,5139.22,0.0
228,28,7,1,6,1,2,1,0,9,2,2458,0,853,1,1,-3.4,96.4,-36.9,1.05,5234.78,1.0
229,58,2,2,2,0,2,1,1,5,4,260,2,207,2,1,1.1,89.87,-47.98,3.52,4973.76,0.0
230,36,1,2,3,1,1,1,0,7,4,213,3,952,0,0,1.4,98.42,-44.7,4.81,5008.51,0.0
231,48,10,2,7,1,1,1,1,7,5,335,1,1047,0,0,-2.9,90.98,-34.7,1.02,5111.73,0.0
232,47,1,2,5,1,1,1,1,6,4,409,1,1038,0,0,1.4,93.23,-43.3,4.85,5113.08,0.0
233,50,1,2,5,0,1,1,1,5,2,3895,3,811,1,1,1.1,94.24,-45.68,4.45,5135.94,0.0
234,47,1,2,0,0,1,1,1,5,1,282,0,580,1,0,1.1,90.03,-36.47,1.78,4968.3,0.0
